,crystal_descriptions,energy_substance_pa,magmom_pa,SYMM
49,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.183461538,2.038657846,12
2078,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.184769231,1.969408,12
1298,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.185461538,1.971811308,12
1274,Sm1_2-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_10-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_14-coordinate_1.0,0.188153846,1.855038231,12
2066,Sm1_6-coordinate_1.0|Fe1_11-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_11-coordinate_1.0|Fe4_11-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_13-coordinate_1.0,0.188615385,1.706368846,12
1038,Sm1_2-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_14-coordinate_1.0|Fe6_14-coordinate_1.0,0.189,1.854503231,12
1207,Sm1_14-coordinate_1.0|Fe1_9-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_13-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_8-coordinate_1.0,0.192538462,1.967942308,12
2134,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.194384615,1.853630769,12
213,Sm1_20-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.7|Fe4_cuboctahedral_0.4|Fe5_15-coordinate_1.0,0.199307692,1.843557692,12
2138,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.199692308,1.821811538,12
284,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_8-coordinate_1.0|Fe3_9-coordinate_1.0|Fe4_12-coordinate_1.0|Fe5_body-centered cubic_0.4|Fe6_8-coordinate_1.0|Fe7_12-coordinate_1.0,0.154307692,2.110152462,10
273,Sm1_16-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_9-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_12-coordinate_1.0|Fe7_cuboctahedral_0.5,0.159461538,2.092369154,10
31,Sm1_18-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe3_cuboctahedral_0.6|Fe4_cuboctahedral_0.6|Fe5_cuboctahedral_0.7|Fe6_12-coordinate_1.0,0.163230769,2.014645846,10
2162,Sm1_18-coordinate_1.0|Fe1_2-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe4_cuboctahedral_0.6|Fe5_cuboctahedral_0.6|Fe6_cuboctahedral_0.7|Fe7_12-coordinate_1.0,0.169923077,1.920227692,10
345,Sm1_14-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_13-coordinate_1.0|Fe5_13-coordinate_1.0|Fe6_13-coordinate_1.0|Fe7_body-centered cubic_0.5|Fe8_body-centered cubic_0.5|Fe9_body-centered cubic_0.4|Fe10_body-centered cubic_0.4|Fe11_body-centered cubic_0.5|Fe12_body-centered cubic_0.5,0.17,2.006790692,10
214,Sm1_18-coordinate_1.0|Fe1_12-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_cuboctahedral_0.4|Fe5_13-coordinate_1.0|Fe6_body-centered cubic_0.5|Fe7_10-coordinate_1.0,0.170692308,1.959608308,10
1356,Sm1_18-coordinate_1.0|Fe1_9-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe4_13-coordinate_1.0|Fe5_body-centered cubic_0.5|Fe6_12-coordinate_1.0|Fe7_12-coordinate_1.0,0.170769231,2.110394769,10
2067,Sm1_8-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.171076923,1.988392846,10
2239,Sm1_8-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_body-centered cubic_0.4|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.171076923,1.988392846,10
281,Sm1_18-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_cuboctahedral_0.5|Fe5_body-centered cubic_0.5|Fe6_10-coordinate_1.0|Fe7_13-coordinate_1.0,0.173384615,1.970563077,10
99,Sm1_18-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_9-coordinate_1.0|Fe6_13-coordinate_1.0|Fe7_10-coordinate_1.0,0.173846154,1.916346308,10
260,Sm1_18-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_12-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_6-coordinate_1.0|Fe5_11-coordinate_1.0|Fe6_8-coordinate_1.0|Fe7_13-coordinate_1.0,0.176461538,1.914824,10
215,Sm1_18-coordinate_1.0|Fe1_14-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe4_cuboctahedral_0.6|Fe5_cuboctahedral_0.7|Fe6_12-coordinate_1.0,0.176615385,1.857743462,10
1239,Sm1_18-coordinate_1.0|Fe1_9-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_cuboctahedral_0.5|Fe4_body-centered cubic_0.5|Fe5_13-coordinate_1.0|Fe6_12-coordinate_1.0|Fe7_cuboctahedral_0.4,0.177615385,2.132611077,10
2062,Sm1_14-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_body-centered cubic_0.5|Fe4_body-centered cubic_0.5|Fe5_body-centered cubic_0.5,0.186461538,1.948657308,10
8,Sm1_18-coordinate_1.0|Fe1_11-coordinate_1.0|Fe2_8-coordinate_1.0|Fe3_cuboctahedral_0.7|Fe4_13-coordinate_1.0|Fe5_body-centered cubic_0.5|Fe6_8-coordinate_1.0|Fe7_10-coordinate_1.0,0.195692308,1.958737846,10
1109,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.7|Fe4_12-coordinate_1.0|Fe5_15-coordinate_1.0|Fe6_12-coordinate_1.0|Fe7_15-coordinate_1.0,0.150538462,2.179899308,8
79,Sm1_16-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_14-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_10-coordinate_1.0|Fe5_11-coordinate_1.0|Fe6_8-coordinate_1.0|Fe7_11-coordinate_1.0|Fe8_8-coordinate_1.0|Fe9_13-coordinate_1.0|Fe10_9-coordinate_1.0|Fe11_12-coordinate_1.0|Fe12_10-coordinate_1.0,0.153384615,1.739236077,8
241,Sm1_14-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_7-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_body-centered cubic_0.5|Fe5_8-coordinate_1.0|Fe6_7-coordinate_1.0|Fe7_14-coordinate_1.0|Fe8_body-centered cubic_0.4|Fe9_body-centered cubic_0.5|Fe10_10-coordinate_1.0|Fe11_10-coordinate_1.0|Fe12_8-coordinate_1.0,0.173538462,2.163235385,8
1143,Sm1_16-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_11-coordinate_1.0|Fe3_9-coordinate_1.0|Fe4_12-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_12-coordinate_1.0|Fe7_12-coordinate_1.0|Fe8_11-coordinate_1.0|Fe9_13-coordinate_1.0|Fe10_10-coordinate_1.0|Fe11_10-coordinate_1.0|Fe12_12-coordinate_1.0,0.183153846,2.064416308,8
1226,Sm1_16-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_11-coordinate_1.0|Fe3_12-coordinate_1.0|Fe4_11-coordinate_1.0|Fe5_13-coordinate_1.0|Fe6_10-coordinate_1.0|Fe7_cuboctahedral_0.4|Fe8_9-coordinate_1.0|Fe9_12-coordinate_1.0|Fe10_8-coordinate_1.0|Fe11_12-coordinate_1.0|Fe12_10-coordinate_1.0,0.187,2.068926923,8
68,Sm1_2-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_10-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4|Fe6_14-coordinate_1.0|Fe7_10-coordinate_1.0|Fe8_13-coordinate_1.0|Fe9_13-coordinate_1.0|Fe10_8-coordinate_1.0|Fe11_14-coordinate_1.0|Fe12_8-coordinate_1.0,0.187769231,1.858102615,8
